epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,945.446,0.1292,0.99925,1,0.00573,0.00333,0.00333,0.07003
2,1876.49,0.03956,0.99925,1,0.00681,0.00662273,0.00662273,0.0399894
3,3040.22,0.03787,0.99725,1,0.00987,0.00975448,0.00975448,0.00978781
4,4201.33,0.03756,0.99775,1,0.00876,0.00946048,0.00946048,0.00946048
5,5383.35,0.03694,0.99875,1,0.00376,0.00905463,0.00905463,0.00905463
6,6540.4,0.02576,0.99925,1,0.00302,0.00855018,0.00855018,0.00855018
7,7675.2,0.02149,0.99875,1,0.00499,0.00795954,0.00795954,0.00795954
8,8807.36,0.02042,0.99875,1,0.00467,0.00729725,0.00729725,0.00729725
9,9940.81,0.01935,0.99925,1,0.00268,0.00657963,0.00657963,0.00657963
10,11074.9,0.01604,0.99875,1,0.0044,0.00582435,0.00582435,0.00582435
11,12209.9,0.01567,0.99925,1,0.00384,0.00505,0.00505,0.00505
12,13344.9,0.01413,0.999,1,0.00356,0.00427565,0.00427565,0.00427565
13,14476.7,0.01685,0.99875,1,0.00396,0.00352037,0.00352037,0.00352037
14,15610.9,0.01111,0.99875,1,0.00345,0.00280275,0.00280275,0.00280275
15,16746.8,0.01154,0.99875,1,0.00357,0.00214046,0.00214046,0.00214046
16,17880.7,0.01191,0.999,1,0.00398,0.00154982,0.00154982,0.00154982
17,19015.2,0.01274,0.999,1,0.00439,0.00104537,0.00104537,0.00104537
18,19920.1,0.0103,0.99875,1,0.00377,0.000639518,0.000639518,0.000639518
19,20776.5,0.0097,0.99875,1,0.00381,0.00034227,0.00034227,0.00034227
20,21868.1,0.00954,0.9985,1,0.00376,0.000160943,0.000160943,0.000160943
