epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1849,1.04188,1.04484,1.78847,1.36881,0,0.70845,0.66913,0.67303,0.49638,0.115,0.15942,0.04499,0.00849,0.64261,1.14055,1.47719,0.84885,0,3.3125e-05,3.3125e-05,0.0669081
2,3554.57,0.94865,0.85073,1.42378,1.24698,0,0.70065,0.50885,0.65814,0.4949,0.66973,0.47826,0.56393,0.16726,0.60908,0.63789,1.31704,0.8362,0,6.49946e-05,6.49946e-05,0.0336067
3,5655.67,0.93367,0.78862,1.35453,1.24109,0,0.61852,0.72464,0.68185,0.52231,0.52534,0.65217,0.50543,0.13623,0.65057,0.6445,1.47078,0.84296,0,9.12153e-05,9.12153e-05,0.000299549
4,7390.61,0.87368,0.79104,1.20266,1.19871,0,0.70486,0.72464,0.74167,0.56978,0.65629,0.66667,0.62894,0.18254,0.6166,0.58807,1.14991,0.86161,0,8.14503e-05,8.14503e-05,8.14503e-05
5,9214.91,0.86522,0.78509,1.13379,1.22243,0,0.73424,0.65217,0.76108,0.60326,0.69669,0.56522,0.6045,0.16473,0.57966,0.61229,1.02405,0.79005,0,6.89058e-05,6.89058e-05,6.89058e-05
6,11041.9,0.78308,0.7431,1.08794,1.17836,0,0.57352,0.89855,0.75913,0.62535,0.6272,0.62319,0.6488,0.18668,0.53772,0.59516,1.0925,0.77748,0,5.5e-05,5.5e-05,5.5e-05
7,12703.1,0.76774,0.72015,0.99197,1.15981,0,0.68132,0.73913,0.78706,0.63281,0.69236,0.6087,0.65531,0.17249,0.55531,0.60872,1.21281,0.79207,0,4.10942e-05,4.10942e-05,4.10942e-05
8,14395,0.7352,0.72879,0.95511,1.13218,0,0.74303,0.71242,0.76687,0.61135,0.65005,0.61922,0.59624,0.16803,0.56434,0.61155,1.0756,0.78683,0,2.85497e-05,2.85497e-05,2.85497e-05
9,15887.1,0.6848,0.7289,0.87637,1.08916,0,0.7221,0.71014,0.76867,0.63636,0.66751,0.65217,0.68397,0.21029,0.48732,0.58664,1.1711,0.76234,0,1.85942e-05,1.85942e-05,1.85942e-05
10,17411.7,0.64548,0.71443,0.76405,1.06977,0,0.70612,0.73134,0.8116,0.68676,0.85662,0.60617,0.73924,0.22099,0.49018,0.58792,1.05469,0.77009,0,1.22025e-05,1.22025e-05,1.22025e-05
