epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,322.246,1.26471,1.6232,1.49012,1.18995,0,0.26715,0.44928,0.23961,0.11412,0.25225,0.10145,0.05122,0.00608,1.8478,4.25182,3.07739,2.00726,0,0.000329167,0.000329167,0.0674125
2,596.629,1.39176,1.3562,1.45092,1.24613,0,0.35886,0.63768,0.38634,0.14571,0.27131,0.23188,0.13462,0.02626,1.90781,1.026,2.06049,2.07789,0,0.000662353,0.000662353,0.0344124
3,835.318,1.40383,1.37942,1.40254,1.24644,0,0.29342,0.33333,0.22149,0.1124,0.16907,0.24638,0.09261,0.02399,1.88698,1.02144,4.22204,2.09862,0,0.000994949,0.000994949,0.00141162
4,1075.34,1.35886,1.41347,1.32997,1.22479,0,0.36985,0.50725,0.36688,0.18292,0.18286,0.26087,0.13963,0.04331,1.71009,1.11199,2.15524,1.87081,0,0.000998003,0.000998003,0.000998003
5,1324,1.39462,1.2791,1.31666,1.26093,0,0.67264,0.50725,0.52995,0.28311,0.36184,0.27536,0.17774,0.04481,1.5394,0.94129,2.15665,1.66804,0,0.000996452,0.000996452,0.000996452
6,1568.44,1.34932,1.37527,1.23829,1.22328,0,0.42873,0.23188,0.20672,0.12009,0.33082,0.13043,0.09931,0.03168,1.47265,1.1396,14.1331,1.59171,0,0.00099446,0.00099446,0.00099446
7,1814.66,1.28021,1.23352,1.15821,1.21041,0,0.36196,0.53623,0.34746,0.15737,0.25201,0.34783,0.19064,0.04917,1.77914,0.95629,2.19627,1.86719,0,0.000992029,0.000992029,0.000992029
8,2096.61,1.28567,1.25138,1.22417,1.2129,0,0.671,0.44928,0.50806,0.24002,0.35998,0.26087,0.17776,0.05493,1.71793,0.90234,2.02634,1.86749,0,0.000989163,0.000989163,0.000989163
9,2359.55,1.25048,1.2832,1.15941,1.17921,0,0.49673,0.50725,0.42947,0.22648,0.22891,0.30435,0.10861,0.01914,1.59536,1.07428,1.71953,1.72431,0,0.000985862,0.000985862,0.000985862
10,2650.24,1.27828,1.29206,1.18283,1.19082,0,0.35407,0.58792,0.44195,0.20938,0.2765,0.30435,0.21296,0.04726,1.5681,0.86722,1.71823,1.74832,0,0.000982132,0.000982132,0.000982132
11,2939.19,1.25533,1.27711,1.15278,1.19151,0,0.39119,0.53623,0.43031,0.22366,0.47067,0.27536,0.22085,0.05014,1.62643,0.90525,2.09505,1.67647,0,0.000977975,0.000977975,0.000977975
12,3186.01,1.19001,1.22682,1.15955,1.15318,0,0.61958,0.50725,0.58502,0.33376,0.50752,0.33333,0.25681,0.0479,1.42412,0.93148,1.57838,1.52903,0,0.000973396,0.000973396,0.000973396
13,3434.99,1.19236,1.26979,1.14156,1.16167,0,0.55017,0.62041,0.49377,0.27459,0.2594,0.28986,0.1624,0.03656,1.36264,0.93463,1.48214,1.52541,0,0.000968399,0.000968399,0.000968399
14,3689.14,1.15451,1.18757,1.1184,1.16354,0,0.49752,0.62319,0.54941,0.32592,0.32029,0.37562,0.19548,0.04667,1.30886,0.85856,1.48346,1.46333,0,0.00096299,0.00096299,0.00096299
15,3948.39,1.18753,1.18413,1.118,1.16987,0,0.42252,0.55072,0.45082,0.27318,0.3803,0.26087,0.20761,0.04907,1.37244,0.88996,1.71323,1.53052,0,0.000957172,0.000957172,0.000957172
16,16540.9,1.1525,1.22941,1.04166,1.15978,0,0.55949,0.69565,0.64908,0.39311,0.34206,0.37681,0.24182,0.0635,1.22265,0.87349,1.34217,1.40392,0,0.000950953,0.000950953,0.000950953
17,46479.1,1.1132,1.19463,1.03802,1.14712,0,0.68622,0.53623,0.62591,0.3847,0.44713,0.34783,0.28704,0.06666,1.19814,0.89369,1.4519,1.39865,0,0.000944338,0.000944338,0.000944338
18,49715.6,1.10088,1.21616,0.9962,1.12999,0,0.67386,0.65217,0.61366,0.33765,0.39861,0.33625,0.22637,0.05299,1.20743,0.96726,1.40812,1.39341,0,0.000937334,0.000937334,0.000937334
19,49998.6,1.11847,1.15191,0.99819,1.14753,0,0.62965,0.52174,0.53219,0.31265,0.45742,0.37681,0.3002,0.07508,1.35879,0.90405,1.47423,1.53757,0,0.000929948,0.000929948,0.000929948
20,50245.8,1.06616,1.19505,0.98352,1.08479,0,0.5066,0.66667,0.5437,0.32482,0.4176,0.33333,0.24694,0.05967,1.33185,0.9512,1.44332,1.49834,0,0.000922186,0.000922186,0.000922186
21,50481.1,1.06745,1.2002,1.00222,1.11903,0,0.59215,0.5942,0.58025,0.3633,0.34498,0.4058,0.2504,0.0679,1.16685,0.90871,1.38862,1.33456,0,0.000914058,0.000914058,0.000914058
22,50747.2,1.04393,1.18059,0.9808,1.13098,0,0.62691,0.75362,0.7265,0.47067,0.26523,0.31884,0.21883,0.0652,1.1171,0.92449,1.30973,1.34413,0,0.00090557,0.00090557,0.00090557
23,51007.9,1.08297,1.18809,1.04271,1.13193,0,0.57847,0.66667,0.65084,0.39439,0.37726,0.43478,0.31847,0.07485,1.16443,0.87205,1.40731,1.37213,0,0.000896731,0.000896731,0.000896731
24,51286,1.03491,1.18538,0.98983,1.10912,0,0.71034,0.68116,0.74916,0.50851,0.51472,0.3913,0.33254,0.09672,1.11496,0.88864,1.09038,1.36847,0,0.00088755,0.00088755,0.00088755
25,51596.6,0.99795,1.18173,0.92582,1.08552,0,0.77286,0.63768,0.76144,0.49372,0.45603,0.44928,0.37481,0.10128,1.05706,0.8859,1.08855,1.31946,0,0.000878036,0.000878036,0.000878036
26,51897.3,0.9865,1.18399,0.95556,1.05951,0,0.56576,0.69866,0.65224,0.42223,0.43093,0.43478,0.32199,0.07723,1.07479,0.91002,1.32282,1.29003,0,0.000868198,0.000868198,0.000868198
27,52216.5,1.03065,1.21255,0.96772,1.09739,0,0.69548,0.72464,0.72577,0.4898,0.50165,0.52174,0.42041,0.10453,1.03889,0.85631,1.16551,1.31775,0,0.000858046,0.000858046,0.000858046
28,52484.6,1.0195,1.18418,0.89253,1.07218,0,0.60344,0.63956,0.60894,0.40642,0.43182,0.50725,0.34664,0.09883,1.09418,0.81996,1.49945,1.29288,0,0.00084759,0.00084759,0.00084759
29,52724.5,1.03873,1.16324,0.93318,1.10618,0,0.71049,0.66667,0.70349,0.44562,0.39164,0.42029,0.27459,0.07678,1.0666,0.86537,1.20903,1.31792,0,0.000836841,0.000836841,0.000836841
