epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,125.299,1.30895,1.84593,2.09847,1.19405,0,0.59311,0.55072,0.53602,0.37293,0.54377,0.52174,0.49415,0.1924,0.84731,0.85275,1.6123,0.84028,0,0.00329167,0.00329167,0.070375
1,164.49,1.30895,1.84593,2.09847,1.19405,0,0.59311,0.55072,0.53602,0.37293,0.54377,0.52174,0.49415,0.1924,0.84731,0.85275,1.6123,0.84028,0,0.00329167,0.00329167,0.070375
2,285.283,1.10787,1.16553,1.31848,1.05915,0,0.66914,0.50725,0.57495,0.39582,0.61312,0.46377,0.49647,0.17812,0.8747,0.89563,1.41483,0.83133,0,0.00661853,0.00661853,0.0403685
2,327.268,1.10787,1.16553,1.31848,1.05915,0,0.66914,0.50725,0.57495,0.39582,0.61312,0.46377,0.49647,0.17812,0.8747,0.89563,1.41483,0.83133,0,0.00661853,0.00661853,0.0403685
3,446.812,1.1694,1.24431,1.48231,1.0918,0,0.44542,0.36232,0.37668,0.24259,0.38747,0.37681,0.33535,0.10229,1.11293,0.93664,1.82891,0.99494,0,0.00991946,0.00991946,0.0103361
3,487.806,1.1694,1.24431,1.48231,1.0918,0,0.44542,0.36232,0.37668,0.24259,0.38747,0.37681,0.33535,0.10229,1.11293,0.93664,1.82891,0.99494,0,0.00991946,0.00991946,0.0103361
4,607.24,1.23564,1.28804,1.45867,1.08837,0,0.31727,0.44928,0.28324,0.16818,0.2968,0.42029,0.28823,0.09993,1.16079,0.86085,2.41155,1.01719,0,0.00991232,0.00991232,0.00991232
4,658.194,1.23564,1.28804,1.45867,1.08837,0,0.31727,0.44928,0.28324,0.16818,0.2968,0.42029,0.28823,0.09993,1.16079,0.86085,2.41155,1.01719,0,0.00991232,0.00991232,0.00991232
5,777.574,1.33802,1.15701,1.40004,1.12662,0,0.52393,0.66667,0.56385,0.34231,0.42221,0.54015,0.41928,0.12275,1.13582,0.91935,1.54586,0.96272,0,0.00984449,0.00984449,0.00984449
5,821.213,1.33802,1.15701,1.40004,1.12662,0,0.52393,0.66667,0.56385,0.34231,0.42221,0.54015,0.41928,0.12275,1.13582,0.91935,1.54586,0.96272,0,0.00984449,0.00984449,0.00984449
6,941.025,1.35077,1.17836,1.28473,1.16429,0,0.63872,0.51252,0.48419,0.27809,0.53034,0.42556,0.37598,0.08959,1.38149,0.94459,1.67548,1.16216,0,0.00975773,0.00975773,0.00975773
6,987.492,1.35077,1.17836,1.28473,1.16429,0,0.63872,0.51252,0.48419,0.27809,0.53034,0.42556,0.37598,0.08959,1.38149,0.94459,1.67548,1.16216,0,0.00975773,0.00975773,0.00975773
7,1107.76,1.3249,1.13057,1.26873,1.15129,0,0.36561,0.53623,0.36631,0.18609,0.42755,0.53623,0.45193,0.14204,1.37569,0.93178,2.04289,1.17862,0,0.00965239,0.00965239,0.00965239
7,1155.3,1.3249,1.13057,1.26873,1.15129,0,0.36561,0.53623,0.36631,0.18609,0.42755,0.53623,0.45193,0.14204,1.37569,0.93178,2.04289,1.17862,0,0.00965239,0.00965239,0.00965239
8,1275.18,1.38761,1.12915,1.28218,1.16866,0,0.53598,0.65289,0.51659,0.26176,0.48781,0.5942,0.4885,0.16345,1.26401,0.87167,1.80935,1.07107,0,0.00952889,0.00952889,0.00952889
8,1335.06,1.38761,1.12915,1.28218,1.16866,0,0.53598,0.65289,0.51659,0.26176,0.48781,0.5942,0.4885,0.16345,1.26401,0.87167,1.80935,1.07107,0,0.00952889,0.00952889,0.00952889
9,1455.01,1.35923,1.16081,1.25205,1.18555,0,0.53135,0.44372,0.4606,0.23791,0.47928,0.40024,0.35965,0.09994,1.51191,0.90262,1.68738,1.2642,0,0.00938772,0.00938772,0.00938772
9,1518.14,1.35923,1.16081,1.25205,1.18555,0,0.53135,0.44372,0.4606,0.23791,0.47928,0.40024,0.35965,0.09994,1.51191,0.90262,1.68738,1.2642,0,0.00938772,0.00938772,0.00938772
10,1637.98,1.34325,1.12685,1.27561,1.17289,0,0.40404,0.3913,0.33101,0.16488,0.43397,0.42029,0.34574,0.10418,1.59176,0.84406,2.02181,1.33261,0,0.00922942,0.00922942,0.00922942
10,1677.02,1.34325,1.12685,1.27561,1.17289,0,0.40404,0.3913,0.33101,0.16488,0.43397,0.42029,0.34574,0.10418,1.59176,0.84406,2.02181,1.33261,0,0.00922942,0.00922942,0.00922942
11,1796.56,1.36513,1.15163,1.24359,1.19066,0,0.51795,0.57971,0.48684,0.25449,0.50483,0.44928,0.41547,0.13683,1.41575,1.06582,1.73836,1.21405,0,0.00905463,0.00905463,0.00905463
11,1844.57,1.36513,1.15163,1.24359,1.19066,0,0.51795,0.57971,0.48684,0.25449,0.50483,0.44928,0.41547,0.13683,1.41575,1.06582,1.73836,1.21405,0,0.00905463,0.00905463,0.00905463
12,1964.23,1.32038,1.12543,1.20462,1.16485,0,0.59739,0.6087,0.52253,0.28434,0.62656,0.63768,0.56075,0.1731,1.35038,0.86848,1.472,1.16629,0,0.00886404,0.00886404,0.00886404
12,1952.64,1.32038,1.12543,1.20462,1.16485,0,0.59739,0.6087,0.52253,0.28434,0.62656,0.63768,0.56075,0.1731,1.35038,0.86848,1.472,1.16629,0,0.00886404,0.00886404,0.00886404
