epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1219,4.1795,2.71499,31.8244,4.05132,0,0.00577,0.40351,0.03632,0.00575,0.00075,0.05263,0.00229,0.00051,3.63677,1.43254,3.76129,3.32046,0,0.00165854,0.00165854,0.0684878
2,2407.46,3.56547,1.52774,3.45671,2.98809,0,0.01675,0.17544,0.01482,0.00345,0.00168,0.01754,0.00089,9e-05,2.88356,1.25633,4.32216,2.6128,0,0.00326912,0.00326912,0.0367651
3,3859.85,3.0458,1.17635,3.47556,2.67353,0,0.11784,0.22807,0.09962,0.02057,0.00652,0.36842,0.01296,0.00238,2.73754,0.96276,2.8746,2.51531,0,0.00466082,0.00466082,0.00482342
4,5168.7,2.83121,0.97955,3.1586,2.46996,0,0.01656,0.89474,0.05513,0.01706,0.00909,0.49123,0.01753,0.00361,2.5826,0.94543,2.88829,2.51955,0,0.00427509,0.00427509,0.00427509
5,6302.66,2.67498,0.92467,2.58736,2.34387,0,0.1274,0.50877,0.16543,0.05297,0.0828,0.12281,0.05257,0.00988,2.5294,0.87404,2.28547,2.23221,0,0.0037625,0.0037625,0.0037625
6,7548.35,2.64143,0.86697,2.31973,2.202,0,0.18399,0.29825,0.2052,0.05504,0.0333,0.08772,0.03563,0.00741,2.42524,0.85032,2.36502,2.29948,0,0.00316558,0.00316558,0.00316558
7,8951.49,2.624,0.85495,2.25418,2.19107,0,0.22167,0.21053,0.16761,0.04614,0.05396,0.19298,0.03356,0.0076,2.39789,0.83513,2.31549,2.15048,0,0.002525,0.002525,0.002525
8,10082.4,2.58546,0.84537,2.19686,2.06468,0,0.3401,0.24561,0.23697,0.0845,0.09315,0.21053,0.09105,0.02263,2.28795,0.82601,2.25148,2.16525,0,0.00188442,0.00188442,0.00188442
9,11186.3,2.48497,0.82501,2.10192,2.01454,0,0.22734,0.26316,0.22472,0.05931,0.05442,0.26316,0.04929,0.01072,2.36948,0.81433,2.24799,2.20743,0,0.0012875,0.0012875,0.0012875
10,12334.5,2.43901,0.76069,2.04533,2.02319,0,0.29681,0.19298,0.23272,0.07027,0.10793,0.07018,0.05311,0.01674,2.42447,0.80069,2.11092,2.13083,0,0.000774911,0.000774911,0.000774911
11,13373.8,2.53767,0.81851,2.07125,2.02558,0,0.21664,0.2807,0.20877,0.07308,0.15353,0.05263,0.05451,0.01838,2.41436,0.7898,2.1223,2.13993,0,0.000381587,0.000381587,0.000381587
12,14451.6,2.48137,0.76129,1.97647,2.0099,0,0.17891,0.31579,0.22197,0.07413,0.07701,0.24561,0.06737,0.0192,2.43132,0.79669,2.0652,2.15414,0,0.000134334,0.000134334,0.000134334
