epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1295.67,2.6751,3.36498,1.97434,1.31128,0,0.31665,0.34682,0.2618,0.09115,0.21751,0.26727,0.15835,0.04254,2.46053,2.56728,1.70647,1.11128,0,0.00166322,0.00166322,0.0683988
2,2929.78,2.47915,2.62415,1.55837,1.11184,0,0.40494,0.42426,0.36907,0.13853,0.33058,0.36264,0.27689,0.0817,2.26324,2.33046,1.52775,1.04889,0,0.0033096,0.0033096,0.0367118
3,4650.68,2.39939,2.49936,1.49118,1.07439,0,0.40886,0.42455,0.36962,0.13733,0.30981,0.35001,0.25048,0.06955,2.283,2.34274,1.50888,1.04639,0,0.0048755,0.0048755,0.00494438
4,6367.97,2.35245,2.41328,1.44566,1.05394,0,0.45222,0.49064,0.43746,0.1725,0.35425,0.40707,0.3001,0.08538,2.15154,2.25666,1.42853,1.02006,0,0.00473024,0.00473024,0.00473024
5,8081.79,2.29108,2.33996,1.40682,1.03771,0,0.49151,0.52083,0.49026,0.20617,0.41134,0.43587,0.36279,0.10999,2.04287,2.07058,1.33841,1.00234,0,0.00452732,0.00452732,0.00452732
6,9524.91,2.24365,2.29178,1.37447,1.02651,0,0.47574,0.51173,0.46732,0.18173,0.37155,0.41997,0.32225,0.09168,2.11843,2.25435,1.37384,0.99604,0,0.00427509,0.00427509,0.00427509
7,10810.4,2.21241,2.245,1.35403,1.01668,0,0.5089,0.54662,0.51736,0.21205,0.38668,0.43602,0.34011,0.09885,2.03319,2.1076,1.33411,0.9777,0,0.00397977,0.00397977,0.00397977
8,12074.2,2.16696,2.21565,1.33607,1.01205,0,0.54321,0.56242,0.55567,0.24149,0.43108,0.4583,0.38789,0.11582,1.94746,2.00717,1.26819,0.97239,0,0.00364863,0.00364863,0.00364863
9,13604.2,2.15437,2.19099,1.32171,1.00561,0,0.53412,0.56233,0.54931,0.23361,0.39241,0.44652,0.34599,0.09809,1.95351,2.0365,1.29789,0.96334,0,0.00328982,0.00328982,0.00328982
10,15325.9,2.12382,2.16671,1.30651,1.00184,0,0.52857,0.55276,0.53942,0.22722,0.38099,0.42911,0.33398,0.09618,1.96597,2.0345,1.28165,0.97472,0,0.00291218,0.00291218,0.00291218
11,16680.5,2.04116,2.08807,1.31922,1.00175,0,0.55073,0.58066,0.57624,0.25941,0.43418,0.47801,0.39621,0.121,1.87067,1.92038,1.249,0.95158,0,0.002525,0.002525,0.002525
12,18073.6,2.00912,2.05209,1.27813,0.99252,0,0.55305,0.56701,0.56735,0.23576,0.39483,0.41832,0.33734,0.09391,1.95808,2.02919,1.24588,0.9578,0,0.00213782,0.00213782,0.00213782
13,19410,1.98686,2.03856,1.26225,0.98985,0,0.55821,0.58306,0.57932,0.24787,0.40634,0.44439,0.35491,0.10247,1.90854,1.97327,1.23551,0.94979,0,0.00176018,0.00176018,0.00176018
14,20759.5,1.97147,2.01711,1.24791,0.98586,0,0.57689,0.59957,0.60677,0.27301,0.42307,0.45563,0.37343,0.1071,1.83885,1.89277,1.20622,0.94123,0,0.00140137,0.00140137,0.00140137
15,22166.3,1.95147,1.99271,1.23669,0.98253,0,0.58967,0.61228,0.62511,0.28793,0.44969,0.47959,0.40655,0.12109,1.79984,1.85162,1.17295,0.93974,0,0.00107023,0.00107023,0.00107023
16,23377,1.94677,1.996,1.22394,0.98079,0,0.589,0.60525,0.62015,0.28453,0.45905,0.49147,0.42307,0.12844,1.8045,1.8795,1.18213,0.93877,0,0.000774911,0.000774911,0.000774911
17,24346.1,1.93678,1.98081,1.22044,0.97689,0,0.60321,0.62146,0.63814,0.294,0.46979,0.49365,0.4296,0.12996,1.79359,1.85771,1.15976,0.93679,0,0.000522683,0.000522683,0.000522683
18,25411.1,1.92206,1.97411,1.20889,0.97342,0,0.59852,0.61777,0.63358,0.29415,0.4558,0.4911,0.41692,0.12578,1.78372,1.85009,1.16022,0.93661,0,0.000319759,0.000319759,0.000319759
19,26445.3,1.90336,1.95964,1.20145,0.9743,0,0.60437,0.61987,0.63834,0.29413,0.45397,0.47879,0.40781,0.12029,1.7899,1.87144,1.15816,0.93211,0,0.000171135,0.000171135,0.000171135
20,27399.4,1.9051,1.94851,1.19861,0.97042,0,0.60608,0.61863,0.63994,0.29258,0.45851,0.48043,0.41216,0.12279,1.79499,1.86382,1.15484,0.93344,0,8.04714e-05,8.04714e-05,8.04714e-05
